KNUMBER|APPLICANT|CONTACT|STREET1|STREET2|CITY|STATE|COUNTRY_CODE|ZIP|POSTAL_CODE|DATERECEIVED|DECISIONDATE|DECISION|REVIEWADVISECOMM|PRODUCTCODE|STATEORSUMM|CLASSADVISECOMM|SSPINDICATOR|TYPE|THIRDPARTY|EXPEDITEDREVIEW|DEVICENAME
K261609|Maxx Orthopedics, Inc.|Asawari  Hare|2460 General Armistead Ave. #100||Norristown|PA|US|19403|19403|05/14/2026|08/04/0020|SESE|OR|HSX|Summary|OR||Traditional|N||Freedom Partial Knee System
K261915|Boston Scientific Corporation|Uma  Ramnanan|100 Boston Scientific Way||Marlborough|MA|US|01752|01752|06/09/2026|08/04/0020|SESE|GU|FED|Summary|GU||Traditional|N||Navigator™ Flex Ureteral Access Sheath Set
K760001|Zimmer, Inc.||4221 Richmond Rd., NW||Walker|MI|US|49534|49534|05/26/1976|07/26/1976|SESE|PM|||||Traditional|N||ARCH SUPPORT (ARCH AID)
K760002|Zimmer, Inc.||||1831 Olive St. St. Louis|MO|US|||05/26/1976|07/26/1976|SESE|PM|IQI||PM||Traditional|N||KNEE AID
K760003|Zimmer, Inc.||803 N. Front St. Suite 3||Mchenry|IL|US|60050|60050|05/26/1976|07/26/1976|SESE|PM|ITG||PM||Traditional|N||CAST MATERIAL (WICKET STOCKINETTE)
K760004|Stewart-Naumann Laboratories||803 N. Front St. Suite 3||Mchenry|IL|US|60050|60050|06/07/1976|08/23/1976|SESE|HO|FMF||HO||Traditional|N||SYRINGE, DISPOSABLE, ALL PLASTIC
K760005|Stewart-Naumann Laboratories||803 N. Front St. Suite 3||Mchenry|IL|US|60050|60050|06/07/1976|08/23/1976|SESE|HO|FMF||HO||Traditional|N||SYRINGE, DISPOSABLE, GLASS & PLASTIC
K760006|Micromedic Systems||4221 Richmond Rd., NW||Walker|MI|US|49534|49534|06/07/1976|07/20/1976|SESE|CH|||||Traditional|N||RADIOASSAY, CONCEPT 4
K760007|Geometric Data, Div. Smithkline Corp.||803 N. Front St. Suite 3||Mchenry|IL|US|60050|60050|06/08/1976|09/03/1976|SESE|HE|GKJ||HE||Traditional|N||BLOOD-SMEARING INSTRUMENT (MINIPREP TM)
K760008|Kyocera International, Inc.||803 N. Front St. Suite 3||Mchenry|IL|US|60050|60050|06/08/1976|10/05/1976|SESE|DE|DZE||DE||Traditional|N||DENTAL MATERIAL, IMPLANT, HIGH-PURITY AL
K760009|The Dow Chemical Co.||4221 Richmond Rd., NW||Walker|MI|US|49534|49534|06/10/1976|07/20/1976|SESE|CH|CFH||CH||Traditional|N||COLORIMETRIC DETERMINATION (LDH)
K760010|The Dow Chemical Co.||803 N. Front St. Suite 3||Mchenry|IL|US|60050|60050|06/10/1976|07/26/1976|SESE|CH|CIT||CH||Traditional|N||COLORIMETRIC DETERMINATION (SGOT/SGPT)
K760011|The Dow Chemical Co.||803 N. Front St. Suite 3||Mchenry|IL|US|60050|60050|06/10/1976|07/26/1976|SESE|CH|CDT||CH||Traditional|N||REAGENT, TRIGLYCERIDES
K760012|Travenol Laboratories, S.A.||803 N. Front St. Suite 3||Mchenry|IL|US|60050|60050|06/10/1976|07/16/1976|SESE|HE|BSB||HE||Traditional|N||BLOOD WARMER (CODE 4R4305)
K760013|Cordis Corp.||803 N. Front St. Suite 3||Mchenry|IL|US|60050|60050|06/10/1976|07/20/1976|SESE|CV|DTC||CV||Traditional|N||PACER SYSTEMS ANALYZER (CORDIS)
K760016|Parke-Davis Co.||803 N. Front St. Suite 3||Mchenry|IL|US|60050|60050|06/11/1976|07/16/1976|SESE|CV|||||Traditional|N||SURGICAL BLADES (BEAVER)
K760017|Mckesson Corp.||803 N. Front St. Suite 3||Mchenry|IL|US|60050|60050|06/11/1976|07/20/1976|SESE|AN|BZR||AN||Traditional|N||CONSIOUS SEDATION (ANALOR P-76)
K760018|Jelco Laboratories||803 N. Front St. Suite 3||Mchenry|IL|US|60050|60050|06/11/1976|07/20/1976|SESE|HE|GIM||CH||Traditional|N||VACUUM TUBES, STERILE (J-VAC)
K760019|Jelco Laboratories||803 N. Front St. Suite 3||Mchenry|IL|US|60050|60050|06/11/1976|07/20/1976|SESE|HE|GIM||CH||Traditional|N||VACUUM TUBES, PEDIATRIC SIZES (J-VAC)
K760022|Jelco Laboratories||803 N. Front St. Suite 3||Mchenry|IL|US|60050|60050|06/14/1976|08/09/1976|SESE|SU|GAA||SU||Traditional|N||NEEDLE, FILTER
K760023|Harleco||803 N. Front St. Suite 3||Mchenry|IL|US|60050|60050|06/14/1976|08/26/1976|SESE|CH|JMK||CH||Traditional|N||ULTRAZYME HBD
K760024|Harleco||803 N. Front St. Suite 3||Mchenry|IL|US|60050|60050|06/14/1976|08/26/1976|SESE|CH|CJE||CH||Traditional|N||ULTRAZYME ALKALINE PHOSPHATASE
K760025|Harleco||803 N. Front St. Suite 3||Mchenry|IL|US|60050|60050|06/14/1976|08/26/1976|SESE|CH|JPZ||CH||Traditional|N||ULTRAZYME GT
K760026|Harleco||803 N. Front St. Suite 3||Mchenry|IL|US|60050|60050|06/14/1976|09/21/1976|SESE|CH|CIJ||CH||Traditional|N||ULTRAZYME AMYLASE
K760027|Harleco||803 N. Front St. Suite 3||Mchenry|IL|US|60050|60050|06/14/1976|07/20/1976|SESE|HE|IAF||HE||Traditional|N||DSP - STAIN PACK
K760028|Harleco||803 N. Front St. Suite 3||Mchenry|IL|US|60050|60050|06/14/1976|09/15/1976|SESE|CH|JHT||CH||Traditional|N||CPK - ISOENZYMES
K760029|Harleco||803 N. Front St. Suite 3||Mchenry|IL|US|60050|60050|06/14/1976|09/15/1976|SESE|CH|CDT||CH||Traditional|N||ENZYMATIC TRIGLYCERIDE
K760030|Harleco||803 N. Front St. Suite 3||Mchenry|IL|US|60050|60050|06/14/1976|09/13/1976|SESE|CH|CEO||CH||Traditional|N||CLINICARD PHOSPHORUS
K760031|Harleco||803 N. Front St. Suite 3||Mchenry|IL|US|60050|60050|06/14/1976|07/20/1976|SESE|HE|HZT||HE||Traditional|N||HISTOCHEMICAL PAS REACTION SET
K760032|Gamma Biologicals, Inc.||803 N. Front St. Suite 3||Mchenry|IL|US|60050|60050|06/14/1976|08/03/1976|SESE|IM|KIN||PA||Traditional|N||TEST, MONO., DIFFERENTIAL SLIDE
K760033|Gamma Biologicals, Inc.||803 N. Front St. Suite 3||Mchenry|IL|US|60050|60050|06/14/1976|08/03/1976|SESE|MI|GTZ||MI||Traditional|N||TEST, ANTIBODIES FOR GRP A, LATEX SLIDE
K760034|Gamma Biologicals, Inc.||803 N. Front St. Suite 3||Mchenry|IL|US|60050|60050|06/14/1976|08/11/1976|SESE|MI|DEM||IM||Traditional|N||TEST, STREP, LATEX SLIDE
